,person,year,PPamount,labinc,wt,famsize,educ,hours,married
30,5727,2002,7274.575295999999,63046.32,87199,1,14.0,3320,0
31,3558,2014,50669.28601,128976.4,702088,2,17.0,3120,1
32,5388,2002,50669.28601,128976.4,559582,5,16.0,780,1
33,3575,2008,1013.110117,62812.83,838808,5,12.0,2080,1
34,1750,2000,1013.110117,43059.98,183106,5,12.0,2080,1
35,4680,1986,1013.110117,27833.06,513835,5,12.0,2311,1
36,2119,1990,1013.110117,10014.36,137450,6,12.0,1255,1
37,1175,2002,24248.58432,133367.2,757940,1,19.0,3120,0
38,6894,2012,9498.249552,97831.97,137100,1,12.0,1480,0
39,9829,1994,9498.249552,44137.49,72017,4,12.0,2756,1
40,960,2014,9498.249552,341155.4,742433,2,15.0,3120,1
41,8045,2000,9498.249552,18997.05,260721,1,10.0,2080,0
42,1142,1991,9498.249552,40038.34,150234,3,16.0,2340,1
43,3777,1994,9498.249552,51493.74,462180,5,12.0,2480,1
44,710,1990,9498.249552,49070.36,685573,1,16.0,2440,0
45,1950,1991,9498.249552,51969.76,563491,2,14.0,2928,0
46,554,2014,36850.38983,341155.4,941496,6,19.0,2600,1
47,4043,2002,36850.38983,286133.3,647638,4,14.0,5200,1
48,2285,2008,36850.38983,61799.72,874829,4,20.0,2132,1
49,285,1987,36850.38983,16314.86,108106,4,10.0,1744,0
50,5540,2000,36850.38983,154509.3,569437,2,14.0,2704,1
51,1143,1989,36850.38983,43987.51,720468,2,16.0,2600,0
52,7720,2012,26595.09875,156721.1,417253,5,18.0,2600,1
53,1003,2002,26595.09875,127305.1,621058,2,16.0,3120,1
